Time, MagX, MagY, MagZ, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, Temp, Pres, Yaw, Pitch, Roll
2021-10-23 12:19:25.038181,-267.25,-193.75,-6.75,1468,-8594,-14111,-5888,171,-1767,29.47,1009.49,10.804369825043112,9.369270260311632,-171.31110763691717
2021-10-23 12:19:25.338918,-262.125,-63.125,8207.0,3894,786,-17903,-12514,341,-1962,29.49,1009.52,12.956110664312108,5.08012450092709,166.93097162191484
2021-10-23 12:19:25.640057,-255.25,24577.5,92.25,3882,12297,-8312,-9795,1129,-1366,29.48,1009.47,3.056901870518352,-5.125118394807009,142.97845234995418
2021-10-23 12:19:25.941775,-269.0,24575.625,180.25,235,16863,4260,-8917,-583,-1308,29.44,1009.49,-1.8117880365154295,-10.006882664655107,115.07888100786035
2021-10-23 12:19:26.243033,-274.375,-53.875,243.75,-1011,9225,12583,-8532,-1083,-2592,29.46,1009.48,-5.441215545036039,-3.1677449540367197,95.22226418803315
2021-10-23 12:19:26.544278,-296.625,-141.5,301.25,1371,1107,15707,-12380,2715,677,29.5,1009.51,-7.2787113841310855,-4.2533708395072924,70.38595349481382
2021-10-23 12:19:26.845494,-304.375,-244.25,233.0,-2153,-10376,12547,-11359,431,-1025,29.48,1009.5,-13.570900420629018,0.5607924307582646,46.39055274255556
2021-10-23 12:19:27.146286,-274.5,-278.875,129.875,-2348,-16697,1141,-9417,578,-2707,29.57,1009.49,-23.32681884710766,7.203977843599359,24.680806708763306
2021-10-23 12:19:27.447681,-269.5,-244.5,41.0,135,-16527,-8909,-9494,397,-838,29.55,1009.48,-30.139237168102316,9.670626245106737,2.9254382407655815
2021-10-23 12:19:27.748118,-283.125,-78.875,16387.0,577,-2031,-18333,-14178,-1767,-1590,29.54,1009.5,-33.22717218249452,5.141564205353496,-19.073531901460328
2021-10-23 12:19:28.048996,-299.625,-9.875,105.625,-1284,11540,-9433,-12684,268,-1973,29.53,1009.51,-29.173053841923398,7.256498900063629,-28.3788819532594
2021-10-23 12:19:28.350184,-289.875,-20.875,190.25,-1770,15128,5966,-11441,-113,-359,29.51,1009.47,-22.04620308974827,8.909928504531287,-28.17460365333976
2021-10-23 12:19:28.651866,-263.375,-89.625,274.375,-1305,7116,13455,-8941,-1712,-759,29.5,1009.48,-17.4346023488507,6.406384710536178,-27.41548885635704
2021-10-23 12:19:28.953660,-256.75,-214.125,272.375,1377,-720,15977,-10378,-465,-477,29.5,1009.49,-16.95017033812816,3.190212065043614,-37.583804230665535
2021-10-23 12:19:29.254988,-255.75,-279.875,169.75,1139,-14497,9128,-10839,419,1475,29.49,1009.48,-17.0896936293257,2.7370811567229234,-60.154274844980755
2021-10-23 12:19:29.556229,-248.625,-284.25,108.625,956,-17032,-692,-6899,-170,-345,29.49,1009.49,-16.90425892766336,0.9150298995186831,-77.41266651213066
2021-10-23 12:19:29.856820,-248.125,-245.0,8228.875,2179,-13465,-8463,-7169,617,-1143,29.51,1009.51,-5.913247936643099,-4.3174983026539255,-94.32808073750648
2021-10-23 12:19:30.157516,-250.0,-86.125,16386.875,4137,-2487,-15891,-13002,360,-960,29.53,1009.5,8.918288224780863,-4.756917984449303,-130.7485557978198
2021-10-23 12:19:30.458606,-249.625,-13.75,48.125,2931,11910,-9786,-9618,653,-2358,29.52,1009.46,11.808876606766358,-9.107641250500638,-159.2695543880764
2021-10-23 12:19:30.761204,-251.25,11.625,115.75,3664,15693,-3987,-9143,-427,-1205,29.48,1009.47,14.400760765870492,-11.290495296350331,174.56884950401232
2021-10-23 12:19:31.062415,-262.625,32759.625,214.875,499,13409,7262,-9508,-1456,-617,29.48,1009.5,5.4136236962274245,-13.660829114883255,148.4018996456911
2021-10-23 12:19:31.363645,-270.875,-122.375,286.25,646,4678,16056,-11100,910,-1298,29.46,1009.46,8.358995369375158,-15.861904141554033,125.21231133450416
2021-10-23 12:19:31.665057,-268.75,-210.625,271.375,-1738,-9155,14585,-9747,441,-1042,29.45,1009.46,8.578146660292301,-16.392339616798566,109.89390678770287
2021-10-23 12:19:31.966110,-261.0,-273.125,194.75,816,-14822,8667,-11425,22,-2201,29.46,1009.48,8.100156259743466,-17.035494799645658,94.7367240537882
2021-10-23 12:19:32.266528,-264.875,-275.5,107.25,3081,-16649,-2297,-8418,134,1172,29.53,1009.48,5.035440764812347,-24.34633455632399,88.59660354983646
2021-10-23 12:19:32.567203,-284.125,-165.75,-8200.875,82,-9797,-14108,-12095,448,-274,29.53,1009.51,13.908909446637853,-26.10470063409527,80.74664865644858
2021-10-23 12:19:32.867976,-276.5,-70.25,16387.0,-544,1723,-15637,-10020,762,-2294,29.52,1009.49,-1.683049004596995,-23.988910426180396,77.18305274690792
2021-10-23 12:19:33.169032,-254.875,-16386.875,73.875,2453,14489,-8000,-10916,438,-1396,29.52,1009.49,-7.485012905304787,-10.442854134636649,72.20357623766554
2021-10-23 12:19:33.470083,-255.0,-32765.875,183.625,3435,15663,3200,-8991,-418,616,29.51,1009.47,-10.208968457845593,-5.740196360144887,63.75220010237979
2021-10-23 12:19:33.771212,-291.5,-82.625,268.375,-1411,6780,13517,-10163,4649,-1301,29.51,1009.49,-12.182806814834278,1.9564731956712045,42.037367571777345
2021-10-23 12:19:34.072475,-282.125,-180.5,266.0,-4704,-8388,15503,-9150,859,-1592,29.52,1009.46,-22.03916666865876,7.247515307580281,15.818483218287433
2021-10-23 12:19:34.373634,-268.625,-252.625,215.125,-285,-13501,11200,-8342,294,635,29.5,1009.48,-28.476229306822106,5.51252166694777,-10.008098951029435
2021-10-23 12:19:34.674973,-258.0,-275.75,96.875,2277,-16200,-2457,-9837,172,-734,29.49,1009.45,-35.25054003337587,1.9500173552771323,-40.09861815230616
2021-10-23 12:19:34.976296,-276.25,-164.5,-8198.25,478,-8934,-14659,-11559,-376,-392,29.51,1009.43,-42.0047372891086,3.2549806860038344,-68.99404907424956
2021-10-23 12:19:35.277088,-269.375,-46.375,8197.375,-390,4388,-17032,-10658,182,-2963,29.51,1009.46,-35.14215661266552,-3.1474101088596123,-89.34573684903694
2021-10-23 12:19:35.578058,-246.375,16389.25,85.125,2581,13904,-6878,-9710,320,-2034,29.52,1009.46,-34.70589893470479,-8.495287336223878,-111.22134764259513
2021-10-23 12:19:35.879031,-255.125,-24583.5,215.25,3048,15009,6027,-11716,2267,-412,29.5,1009.44,-36.536949154622675,-16.51973717570595,-121.46172879272612
2021-10-23 12:19:36.180196,-274.375,-108.0,281.75,-2013,1712,17459,-9638,961,-1439,29.49,1009.46,-26.657822429887872,-18.680439590813453,-131.00238775484084
2021-10-23 12:19:36.481345,-275.375,-220.625,253.75,93,-8465,15492,-10251,1447,-224,29.46,1009.45,-19.416437304202606,-20.32725382759697,-136.12025734394769
2021-10-23 12:19:36.782951,-249.875,-283.375,155.75,404,-15089,6357,-11056,-281,-1755,29.48,1009.42,-9.746669005716592,-20.230048651817558,-141.0232885724563
2021-10-23 12:19:37.084413,-263.875,-236.0,16408.125,683,-15312,-3290,-11293,568,-179,29.51,1009.45,-5.6459947382651245,-9.924239040371528,-156.31197358199663
2021-10-23 12:19:37.385798,-272.0,-132.875,-15.5,767,-5329,-17432,-10405,-788,-1810,29.51,1009.44,3.420523838415768,-7.212597907604746,-173.27749724006
2021-10-23 12:19:37.686162,-270.125,-32.875,8209.75,193,8175,-14840,-7480,977,-253,29.5,1009.45,4.817201731018343,-4.329074191137462,167.11324938655156
2021-10-23 12:19:37.986762,-259.0,13.0,114.75,854,13483,-5031,-9204,1111,-957,29.5,1009.48,4.763934044786687,-5.872526126681615,145.00708805369794
2021-10-23 12:19:38.287068,-259.0,-8202.625,225.625,2513,14446,6261,-10443,207,-1046,29.47,1009.4,14.295226477324128,1.627146415962583,115.72993340699303
2021-10-23 12:19:38.587537,-261.0,-75.75,280.625,785,6584,15216,-8919,1377,-975,29.47,1009.47,9.009616651840812,1.5276886994781833,96.56103659831832
2021-10-23 12:19:38.889064,-274.75,-197.0,273.5,-1316,-4782,17144,-9954,429,-3743,29.45,1009.44,2.813219423509684,9.251433895510528,76.37581260332185
2021-10-23 12:19:39.190167,-261.125,-265.875,193.875,-1353,-12759,9733,-8518,-250,-1723,29.46,1009.43,-6.551769255057032,14.982470136123252,57.69235910259793
2021-10-23 12:19:39.491746,-277.5,-264.25,73.5,-1180,-17262,166,-11100,1135,258,29.48,1009.42,-12.16446373179712,19.925043618331593,36.823489269505856
2021-10-23 12:19:39.792997,-276.5,-125.25,-20.0,-924,-8354,-14233,-11495,591,-1751,29.49,1009.43,-15.721612111795185,27.396313209426005,20.332973264685016
2021-10-23 12:19:40.094167,-272.75,-20.125,17.5,-206,9750,-16100,-10778,890,-2491,29.5,1009.46,-12.356508048511692,33.88941843864649,14.931640181401546
2021-10-23 12:19:40.395565,-255.25,-24577.5,108.5,2285,15316,-3444,-11396,-97,-427,29.49,1009.47,-14.701236904946338,34.1968531062634,14.918641357889365
2021-10-23 12:19:40.698118,-251.875,-36.375,244.25,5694,14614,7503,-9942,2355,-456,29.47,1009.43,-10.737711855123981,28.558475602382654,8.587176255346815
